Month,Year,Country,Sex,Fatal
Jul,2018,AUSTRALIA,M,N
Nov,2018,USA,M,N
May,2018,AUSTRALIA,M,N
Feb',2018,AUSTRALIA,M,N
Sep,2018,THAILAND,M,N
Sep,2018,SOUTH AFRICA,M,N
Jan,2018,AUSTRALIA,F,N
Mar,2018,USA,M,N
Mar,2018,MEXICO,M,N
Aug,2018,BAHAMAS,M,N
May,2018,ENGLAND,M,N
Apr,2018,USA,M,N
Dec,2018,SOUTH AFRICA,M,N
Mar,2018,AUSTRALIA,M,N
Sep,2018,MALDIVES,M,N
Jan,2018,AUSTRALIA,M,N
Nov,2018,AUSTRALIA,M,N
Jan,2018,BRAZIL,F,N
Aug,2018,SOUTH AFRICA,M,N
",Jun-",2018,USA,F,N
-,2018,AUSTRALIA,F,N
Sep,2018,COSTA RICA,M,N
Jan,2018,ECUADOR,M,N
Apr,2018,AUSTRALIA,M,N
Sep,2018,AUSTRALIA,M,N
Feb',2018,NEW CALEDONIA,M,N
Aug,2018,BRAZIL,M,N
Jul,2018,USA,M,N
Mar,2018,BRAZIL,M,Y
Aug,2018,AUSTRALIA,M,N
Apr,2018,THAILAND,M,N
Jul,2018,BRAZIL,M,N
Nov,2018,SOUTH AFRICA,M,N
Dec,2018,AUSTRALIA,F,N
Sep,2017,"ST HELENA, British overseas territory",F,N
Oct,2017,MAURITIUS,M,N
",Jun-",2017,AUSTRALIA,M,N
Apr,2017,AUSTRALIA,F,Y
-,2017,USA,M,N
Sep,2017,REUNION,M,Y
Jan,2017,USA,M,N
Mar,2017,USA,M,N
Sep,2017,SPAIN,M,N
Nov,2017,USA,F,N
Oct,2017,NEW ZEALAND,M,N
Sep,2017,USA,M,N
Oct,2017,USA,M,N
Mar,2017,AUSTRALIA,M,N
Jul,2017,USA,F,N
Jul,2017,BAHAMAS,F,N
Nov,2017,USA,M,N
Oct,2017,AUSTRALIA,M,N
Aug,2017,USA,F,N
May,2017,AUSTRALIA,M,N
Aug,2017,AUSTRALIA,M,N
Feb',2017,AUSTRALIA,M,N
Jul,2017,USA,M,N
Mar,2017,BAHAMAS,F,N
",Jun-",2017,USA,M,N
Sep,2017,USA,F,N
Nov,2017,AUSTRALIA,M,N
Apr,2017,SOUTH AFRICA,M,Y
Sep,2017,SOUTH AFRICA,M,N
Apr,2017,JAPAN,M,N
Apr,2017,USA,F,N
May,2017,USA,M,N
Apr,2017,SOLOMON ISLANDS,M,N
Mar,2017,USA,F,N
Apr,2017,USA,M,N
Dec,2017,AUSTRALIA,F,N
Dec,2017,USA,F,N
-,2017,SAMOA,M,N
Jul,2017,SOUTH AFRICA,F,N
Jul,2017,MEXICO,M,N
Mar,2017,AUSTRALIA,F,N
-,2017,FRENCH POLYNESIA,M,N
Nov,2017,UNITED ARAB EMIRATES,M,N
Dec,2017,USA,M,N
May,2017,BAHAMAS,M,N
Jul,2017,SPAIN,F,N
Dec,2017,REUNION,M,Y
Dec,2017,MALAYSIA,M,N
Apr,2017,AUSTRALIA,M,N
Nov,2017,COSTA RICA,M,N
Nov,2017,COSTA RICA,F,Y
Nov,2017,MEXICO,M,Y
Jul,2017,BAHAMAS,M,N
Jan,2017,USA,F,N
Jul,2017,INDONESIA,M,N
Jul,2017,"ST HELENA, British overseas territory",M,N
Aug,2017,NEW ZEALAND,M,N
Jan,2017,BRAZIL,F,N
Jan,2017,SOUTH AFRICA,M,N
Oct,2017,CUBA,M,Y
